Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (12102863),James Harden,12102863,PG/SG/G/UTIL,11600,HOU@LAL 02/21/2019 10:30PM ET,HOU,63.16
SF/PF,Giannis Antetokounmpo (12102867),Giannis Antetokounmpo,12102867,SF/PF/F/UTIL,10800,BOS@MIL 02/21/2019 08:00PM ET,MIL,57.48
SF/PF,LeBron James (12102871),LeBron James,12102871,SF/PF/F/UTIL,10600,HOU@LAL 02/21/2019 10:30PM ET,LAL,53.48
C,Joel Embiid (12102875),Joel Embiid,12102875,C/UTIL,10300,MIA@PHI 02/21/2019 07:00PM ET,PHI,54.61
SF/PF,Kevin Durant (12102877),Kevin Durant,12102877,SF/PF/F/UTIL,9300,SAC@GS 02/21/2019 10:30PM ET,GS,48.77
PG,Kyrie Irving (12102881),Kyrie Irving,12102881,PG/G/UTIL,9200,BOS@MIL 02/21/2019 08:00PM ET,BOS,44.54
PG/SG,Stephen Curry (12102884),Stephen Curry,12102884,PG/SG/G/UTIL,9000,SAC@GS 02/21/2019 10:30PM ET,GS,47.30
PG,Damian Lillard (12102888),Damian Lillard,12102888,PG/G/UTIL,8600,POR@BKN 02/21/2019 07:30PM ET,POR,44.97
PG/SG,D'Angelo Russell (12102891),D'Angelo Russell,12102891,PG/SG/G/UTIL,8200,POR@BKN 02/21/2019 07:30PM ET,BKN,37.80
PG/SF,Ben Simmons (12102895),Ben Simmons,12102895,PG/SF/F/G/UTIL,7900,MIA@PHI 02/21/2019 07:00PM ET,PHI,43.42
PG/SG,Devin Booker (12102900),Devin Booker,12102900,PG/SG/G/UTIL,7700,PHO@CLE 02/21/2019 07:00PM ET,PHO,40.93
PG,Chris Paul (12102904),Chris Paul,12102904,PG/G/UTIL,7600,HOU@LAL 02/21/2019 10:30PM ET,HOU,37.65
C,Jusuf Nurkic (12102907),Jusuf Nurkic,12102907,C/UTIL,7400,POR@BKN 02/21/2019 07:30PM ET,POR,37.28
PF/C,Larry Nance Jr. (12102914),Larry Nance Jr.,12102914,PF/C/F/UTIL,7200,PHO@CLE 02/21/2019 07:00PM ET,CLE,28.00
SG/SF,Jimmy Butler (12102909),Jimmy Butler,12102909,SG/SF/F/G/UTIL,7200,MIA@PHI 02/21/2019 07:00PM ET,PHI,36.80
PG,De'Aaron Fox (12102918),De'Aaron Fox,12102918,PG/G/UTIL,7100,SAC@GS 02/21/2019 10:30PM ET,SAC,36.29
C,Clint Capela (12102923),Clint Capela,12102923,C/UTIL,7000,HOU@LAL 02/21/2019 10:30PM ET,HOU,40.64
C,Deandre Ayton (12102921),Deandre Ayton,12102921,C/UTIL,7000,PHO@CLE 02/21/2019 07:00PM ET,PHO,35.98
PF/C,Kevin Love (12102925),Kevin Love,12102925,PF/C/F/UTIL,6900,PHO@CLE 02/21/2019 07:00PM ET,CLE,34.08
PG,Eric Bledsoe (12102929),Eric Bledsoe,12102929,PG/G/UTIL,6800,BOS@MIL 02/21/2019 08:00PM ET,MIL,33.24
C,Hassan Whiteside (12102932),Hassan Whiteside,12102932,C/UTIL,6700,MIA@PHI 02/21/2019 07:00PM ET,MIA,35.22
PG/SG,CJ McCollum (12102938),CJ McCollum,12102938,PG/SG/G/UTIL,6600,POR@BKN 02/21/2019 07:30PM ET,POR,32.92
SF/PF,Tobias Harris (12102934),Tobias Harris,12102934,SF/PF/F/UTIL,6600,MIA@PHI 02/21/2019 07:00PM ET,PHI,37.26
SG,Klay Thompson (12102942),Klay Thompson,12102942,SG/G/UTIL,6500,SAC@GS 02/21/2019 10:30PM ET,GS,34.45
SG/SF,Buddy Hield (12102945),Buddy Hield,12102945,SG/SF/F/G/UTIL,6400,SAC@GS 02/21/2019 10:30PM ET,SAC,32.96
PF/C,Kenneth Faried (12102950),Kenneth Faried,12102950,PF/C/F/UTIL,6300,HOU@LAL 02/21/2019 10:30PM ET,HOU,22.59
SG/SF,Khris Middleton (12102959),Khris Middleton,12102959,SG/SF/F/G/UTIL,6200,BOS@MIL 02/21/2019 08:00PM ET,MIL,33.12
SG/SF,Josh Richardson (12102954),Josh Richardson,12102954,SG/SF/F/G/UTIL,6200,MIA@PHI 02/21/2019 07:00PM ET,MIA,31.44
C,DeMarcus Cousins (12102964),DeMarcus Cousins,12102964,C/UTIL,6100,SAC@GS 02/21/2019 10:30PM ET,GS,32.39
PG,Lonzo Ball (12102970),Lonzo Ball,12102970,PG/G/UTIL,6000,HOU@LAL 02/21/2019 10:30PM ET,LAL,28.35
PG/SG,Terry Rozier (12102966),Terry Rozier,12102966,PG/SG/G/UTIL,6000,BOS@MIL 02/21/2019 08:00PM ET,BOS,21.87
PF/C,Al Horford (12102981),Al Horford,12102981,PF/C/F/UTIL,6000,BOS@MIL 02/21/2019 08:00PM ET,BOS,31.85
PG/SG,Spencer Dinwiddie (12102973),Spencer Dinwiddie,12102973,PG/SG/G/UTIL,6000,POR@BKN 02/21/2019 07:30PM ET,BKN,29.31
PF/C,Draymond Green (12102977),Draymond Green,12102977,PF/C/F/UTIL,6000,SAC@GS 02/21/2019 10:30PM ET,GS,31.98
SF/PF,Kyle Kuzma (12102997),Kyle Kuzma,12102997,SF/PF/F/UTIL,5900,HOU@LAL 02/21/2019 10:30PM ET,LAL,31.71
SF/PF,Josh Jackson (12102985),Josh Jackson,12102985,SF/PF/F/UTIL,5900,PHO@CLE 02/21/2019 07:00PM ET,PHO,22.54
PF/C,Nikola Mirotic (12102989),Nikola Mirotic,12102989,PF/C/F/UTIL,5900,BOS@MIL 02/21/2019 08:00PM ET,MIL,32.78
SF/PF,Jayson Tatum (12102993),Jayson Tatum,12102993,SF/PF/F/UTIL,5900,BOS@MIL 02/21/2019 08:00PM ET,BOS,31.15
PG,Rajon Rondo (12103006),Rajon Rondo,12103006,PG/G/UTIL,5800,HOU@LAL 02/21/2019 10:30PM ET,LAL,28.42
SG/SF,Kelly Oubre Jr. (12103001),Kelly Oubre Jr.,12103001,SG/SF/F/G/UTIL,5800,PHO@CLE 02/21/2019 07:00PM ET,PHO,25.36
PF/C,Marvin Bagley III (12103009),Marvin Bagley III,12103009,PF/C/F/UTIL,5800,SAC@GS 02/21/2019 10:30PM ET,SAC,26.04
PG/SG,Jordan Clarkson (12103013),Jordan Clarkson,12103013,PG/SG/G/UTIL,5700,PHO@CLE 02/21/2019 07:00PM ET,CLE,27.14
C,Tristan Thompson (12103017),Tristan Thompson,12103017,C/UTIL,5700,PHO@CLE 02/21/2019 07:00PM ET,CLE,31.14
PG/SG,Brandon Ingram (12103019),Brandon Ingram,12103019,PG/SG/G/UTIL,5600,HOU@LAL 02/21/2019 10:30PM ET,LAL,29
SF/PF,T.J. Warren (12103023),T.J. Warren,12103023,SF/PF/F/UTIL,5500,PHO@CLE 02/21/2019 07:00PM ET,PHO,29.26
PG,Goran Dragic (12103031),Goran Dragic,12103031,PG/G/UTIL,5400,MIA@PHI 02/21/2019 07:00PM ET,MIA,28.05
SG/SF,JJ Redick (12103039),JJ Redick,12103039,SG/SF/F/G/UTIL,5300,MIA@PHI 02/21/2019 07:00PM ET,PHI,27.56
C,JaVale McGee (12103044),JaVale McGee,12103044,C/UTIL,5200,HOU@LAL 02/21/2019 10:30PM ET,LAL,25.46
PG/SF,Justise Winslow (12103034),Justise Winslow,12103034,PG/SF/F/G/UTIL,5200,MIA@PHI 02/21/2019 07:00PM ET,MIA,27.72
PG/SF,Caris LeVert (12103046),Caris LeVert,12103046,PG/SF/F/G/UTIL,5100,POR@BKN 02/21/2019 07:30PM ET,BKN,31.02
SF/PF,Cedi Osman (12103027),Cedi Osman,12103027,SF/PF/F/UTIL,5000,PHO@CLE 02/21/2019 07:00PM ET,CLE,23.70
PG/SG,Malcolm Brogdon (12103051),Malcolm Brogdon,12103051,PG/SG/G/UTIL,5000,BOS@MIL 02/21/2019 08:00PM ET,MIL,28.58
PG,Collin Sexton (12103055),Collin Sexton,12103055,PG/G/UTIL,4900,PHO@CLE 02/21/2019 07:00PM ET,CLE,23.82
C,Jarrett Allen (12103058),Jarrett Allen,12103058,C/UTIL,4900,POR@BKN 02/21/2019 07:30PM ET,BKN,28.48
C,Willie Cauley-Stein (12103060),Willie Cauley-Stein,12103060,C/UTIL,4900,SAC@GS 02/21/2019 10:30PM ET,SAC,30.98
SF/PF,Marcus Morris (12103062),Marcus Morris,12103062,SF/PF/F/UTIL,4800,BOS@MIL 02/21/2019 08:00PM ET,BOS,26.59
SG/SF,Jaylen Brown (12103070),Jaylen Brown,12103070,SG/SF/F/G/UTIL,4700,BOS@MIL 02/21/2019 08:00PM ET,BOS,22.84
SF/PF,Harrison Barnes (12103066),Harrison Barnes,12103066,SF/PF/F/UTIL,4700,SAC@GS 02/21/2019 10:30PM ET,SAC,27.40
SG/SF,Mikal Bridges (12103080),Mikal Bridges,12103080,SG/SF/F/G/UTIL,4600,PHO@CLE 02/21/2019 07:00PM ET,PHO,19.46
SF/PF,Gordon Hayward (12103085),Gordon Hayward,12103085,SF/PF/F/UTIL,4600,BOS@MIL 02/21/2019 08:00PM ET,BOS,24.58
SG/SF,Dion Waiters (12103075),Dion Waiters,12103075,SG/SF/F/G/UTIL,4600,MIA@PHI 02/21/2019 07:00PM ET,MIA,18.49
PF/C,Marquese Chriss (12103089),Marquese Chriss,12103089,PF/C/F/UTIL,4500,PHO@CLE 02/21/2019 07:00PM ET,CLE,9.19
C,Brook Lopez (12103097),Brook Lopez,12103097,C/UTIL,4500,BOS@MIL 02/21/2019 08:00PM ET,MIL,25.06
SF/PF,Jake Layman (12103093),Jake Layman,12103093,SF/PF/F/UTIL,4500,POR@BKN 02/21/2019 07:30PM ET,POR,14.78
SG/SF,Bogdan Bogdanovic (12103099),Bogdan Bogdanovic,12103099,SG/SF/F/G/UTIL,4500,SAC@GS 02/21/2019 10:30PM ET,SAC,27.98
SG/SF,Eric Gordon (12103104),Eric Gordon,12103104,SG/SF/F/G/UTIL,4400,HOU@LAL 02/21/2019 10:30PM ET,HOU,24.99
C,Ante Zizic (12103109),Ante Zizic,12103109,C/UTIL,4400,PHO@CLE 02/21/2019 07:00PM ET,CLE,14.91
PG/SG,Marcus Smart (12103111),Marcus Smart,12103111,PG/SG/G/UTIL,4400,BOS@MIL 02/21/2019 08:00PM ET,BOS,22.32
SG/SF,Joe Harris (12103115),Joe Harris,12103115,SG/SF/F/G/UTIL,4300,POR@BKN 02/21/2019 07:30PM ET,BKN,24.11
PG/SG,Dwyane Wade (12103120),Dwyane Wade,12103120,PG/SG/G/UTIL,4300,MIA@PHI 02/21/2019 07:00PM ET,MIA,26.92
PG/SG,Tyler Johnson (12103133),Tyler Johnson,12103133,PG/SG/G/UTIL,4200,PHO@CLE 02/21/2019 07:00PM ET,PHO,20.66
SG/SF,Allen Crabbe (12103124),Allen Crabbe,12103124,SG/SF/F/G/UTIL,4200,POR@BKN 02/21/2019 07:30PM ET,BKN,18.47
PF/C,Rondae Hollis-Jefferson (12103129),Rondae Hollis-Jefferson,12103129,PF/C/F/UTIL,4200,POR@BKN 02/21/2019 07:30PM ET,BKN,20.46
SG/SF,Reggie Bullock (12103137),Reggie Bullock,12103137,SG/SF/F/G/UTIL,4100,HOU@LAL 02/21/2019 10:30PM ET,LAL,21.36
PG/SG,Shabazz Napier (12103142),Shabazz Napier,12103142,PG/SG/G/UTIL,4100,POR@BKN 02/21/2019 07:30PM ET,BKN,18.86
SF/PF,Al-Farouq Aminu (12103146),Al-Farouq Aminu,12103146,SF/PF/F/UTIL,4100,POR@BKN 02/21/2019 07:30PM ET,POR,24.16
SF/PF,DeMarre Carroll (12103150),DeMarre Carroll,12103150,SF/PF/F/UTIL,4100,POR@BKN 02/21/2019 07:30PM ET,BKN,21.34
PG/SG,Austin Rivers (12103158),Austin Rivers,12103158,PG/SG/G/UTIL,4000,HOU@LAL 02/21/2019 10:30PM ET,HOU,17.65
PF/C,Kevon Looney (12103154),Kevon Looney,12103154,PF/C/F/UTIL,4000,SAC@GS 02/21/2019 10:30PM ET,GS,19.17
SG/SF,Kentavious Caldwell-Pope (12103162),Kentavious Caldwell-Pope,12103162,SG/SF/F/G/UTIL,3900,HOU@LAL 02/21/2019 10:30PM ET,LAL,17.86
SF/PF,P.J. Tucker (12103169),P.J. Tucker,12103169,SF/PF/F/UTIL,3900,HOU@LAL 02/21/2019 10:30PM ET,HOU,22.01
C,Aron Baynes (12103167),Aron Baynes,12103167,C/UTIL,3900,BOS@MIL 02/21/2019 08:00PM ET,BOS,14.23
SG/SF,Gerald Green (12103173),Gerald Green,12103173,SG/SF/F/G/UTIL,3800,HOU@LAL 02/21/2019 10:30PM ET,HOU,16.22
SG/SF,David Nwaba (12103178),David Nwaba,12103178,SG/SF/F/G/UTIL,3800,PHO@CLE 02/21/2019 07:00PM ET,CLE,13.80
PF,Nemanja Bjelica (12103187),Nemanja Bjelica,12103187,PF/F/UTIL,3800,SAC@GS 02/21/2019 10:30PM ET,SAC,23.35
SF/PF,Derrick Jones Jr. (12103183),Derrick Jones Jr.,12103183,SF/PF/F/UTIL,3800,MIA@PHI 02/21/2019 07:00PM ET,MIA,16.5
PF/C,Daniel Theis (12103194),Daniel Theis,12103194,PF/C/F/UTIL,3700,BOS@MIL 02/21/2019 08:00PM ET,BOS,15.46
SG/SF,Rodney Hood (12103198),Rodney Hood,12103198,SG/SF/F/G/UTIL,3700,POR@BKN 02/21/2019 07:30PM ET,POR,19.95
PG/SG,T.J. McConnell (12103190),T.J. McConnell,12103190,PG/SG/G/UTIL,3700,MIA@PHI 02/21/2019 07:00PM ET,PHI,17.71
PF/C,Kelly Olynyk (12103203),Kelly Olynyk,12103203,PF/C/F/UTIL,3700,MIA@PHI 02/21/2019 07:00PM ET,MIA,18.96
PF/C,James Johnson (12103207),James Johnson,12103207,PF/C/F/UTIL,3700,MIA@PHI 02/21/2019 07:00PM ET,MIA,17.62
PG/SF,Lance Stephenson (12103224),Lance Stephenson,12103224,PG/SF/F/G/UTIL,3600,HOU@LAL 02/21/2019 10:30PM ET,LAL,15.93
PF/C,Richaun Holmes (12103211),Richaun Holmes,12103211,PF/C/F/UTIL,3600,PHO@CLE 02/21/2019 07:00PM ET,PHO,18.13
